Reason (why not matched),Task name (Hubstaff),Project,ClickUp id tried,Hours
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: L6 Holdings Limited-5570,Operations - Ledger Labs / Lion_Grant,85zrn5mgg,1.0
REMOTE_MISSING (id not in ClickUp),7.Floating Bubble LLC-Status & Queries: Books Status & Fixing Queries,Operations - Titans / Mango_Raj (H),86cvua8uj,1.0
REMOTE_MISSING (id not in ClickUp),IDream IT: Reconcile Bank & Credit Card: PNC 1189,Operations - Synergy / IDream_Joseph (H),86d0xr7ch,1.0
REMOTE_MISSING (id not in ClickUp),02. Bank & Card Reconciliation: Brex Credit Card (2910),Operations - Falcons /Smrtft_Rob (H),85yx8gf5n,1.0
REMOTE_MISSING (id not in ClickUp),Kudos_AP email,Operations - Bravix / Finance Faheem_CPA (H),86cz67g7v,1.0
REMOTE_MISSING (id not in ClickUp),HC_AP Up to date,Operations - Bravix / Finance Faheem_CPA (H),86cujzeyp,1.0
REMOTE_MISSING (id not in ClickUp),PTP - Bank & Card Reconciliation: BOA Business Mastercard - 4455	,Operations - Falcons / Topo_Erin (H),86cuv6k3u,1.0
REMOTE_MISSING (id not in ClickUp),Themes Place - Tax Return Reconciliaition 2024,Operations - Titans / CatchThemes_Sakin (F),86czg2ck5,1.0
REMOTE_MISSING (id not in ClickUp),Baselinx- Bank and Credit Card Reconciliation: Canandaigua Bank New(1013),Operations - Mavericks / Base_Bob (F),86cytaghv,1.0
REMOTE_MISSING (id not in ClickUp),TMM - Monthly Open AR Follow up from Throughline for PTP,Operations - Falcons / Topo_Erin (H),86cv0q8p7,1.0
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills & Payment Reconciliation,Operations - Syndicate / Macar_Ismail (H),86cvb7e0b,1.0
REMOTE_MISSING (id not in ClickUp),04. CFOs Services: Cash Flow & Projections,Operations - Falcons /Smrtft_Rob (H),86cuv6jr6,1.0
REMOTE_MISSING (id not in ClickUp),Loan reconciliation : Soul Star LLC,Operations - Syndicate / EdBall_Edward (F),86cvt1111,1.0
REMOTE_MISSING (id not in ClickUp),2.ORCHID LLC-Status & Queries: Books Status & Fixing Queries,Operations - Titans / Mango_Raj (H),31nk7rc,1.0
REMOTE_MISSING (id not in ClickUp),Audit: Client's Review_Jan to oct 2022,Operations - Titans / Butter_Wendell (F),3149umm,1.0
REMOTE_MISSING (id not in ClickUp),1.CLASSIC KANGAROO-Bank & Card Reconciliation: Horizan Bank,Operations - Titans / Mango_Raj (H),86cuyexfw,1.0
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Skate Chase 3361,Operations - Mavericks / Shark_Zack,86cv2ku8t,1.0
REMOTE_MISSING (id not in ClickUp),BB Philly_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86d29rbdh,0.9
REMOTE_MISSING (id not in ClickUp),06. Sales Reconciliation: Affirm Clearing,Operations - Falcons /Smrtft_Rob (H),86cv1zqgw,0.9
REMOTE_MISSING (id not in ClickUp),Status & Queries : Books Status & Fixing Queries,Operations - Titans / Giften_Martha (F),86cu1vmjd,0.9
REMOTE_MISSING (id not in ClickUp),AR Management: Recorde Merchant Fee From Braintree Clearing A/C,Operations - Mavericks / Bradford_Kirk (F),86cuuvtyt,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: JP Morgan Texas LLC Revenue (6800),Operations - Ledger Labs / Branch_Daniel,86cuyf2cd,0.9
REMOTE_MISSING (id not in ClickUp),"E-Commerce Sales: Shopify, Grubhub, UberEat, Doordash",Operations - Titans / Butter_Wendell (F),86cya8dz2,0.9
REMOTE_MISSING (id not in ClickUp),Audit: Watching client meeting video & preparing notes,Operations - Bravix / SevenShopper_Lin (H),85yvuc7ch,0.9
REMOTE_MISSING (id not in ClickUp),1100.8 Banks:Trumark - 0717,Operations - Bravix / EpicRise_Lin (H),86d1b6bt2,0.9
REMOTE_MISSING (id not in ClickUp),5. Lion Howse-Bank & Card Reconciliation: Republic bank-4828,Operations - Titans / Mango_Raj (H),86cw4cr56,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Chase Checking (5963),Operations - Falcons /Smrtft_Rob (H),85yv0124g,0.9
REMOTE_MISSING (id not in ClickUp),1.MEDSCIENCE-Bank & Card Reconciliation: Seacoast Checking (0990),Operations - Titans / MedScience_Troy (F),86cuyeerx,0.9
REMOTE_MISSING (id not in ClickUp),Payroll:- Verify time sheet and add to bamboohr,Operations - Bravix / EpicRise_Lin (H),86czajduj,0.9
REMOTE_MISSING (id not in ClickUp),Makin Moves LLC_Bank & Card Reconcillation,Operations - Bravix / Mark Perlberg_CPA (F),86cwdkeh2,0.9
REMOTE_MISSING (id not in ClickUp),10. Meeting: Regular Meeting with Clients,Operations - Falcons /Smrtft_Rob (H),85yx3z9wr,0.9
REMOTE_MISSING (id not in ClickUp),PTP - Audit - General Ledger Review,Operations - Falcons / Topo_Erin (H),86cvaq8q8,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: WF Checking - 6290,Operations - Ledger Labs / Love_Sigmar,86cv18m10,0.9
REMOTE_MISSING (id not in ClickUp),06. AR Management : Scheels Invoicing,Operations - Falcons /Smrtft_Rob (H),85yy1byz6,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Glenwood Credit Card - 5773,Operations - Ledger Labs / Coare_Hansel,30rww3g,0.9
REMOTE_MISSING (id not in ClickUp),ABRS Investment Reconciliations,Operations - Bravix / EpicRise_Lin (H),86d0n0zcz,0.9
REMOTE_MISSING (id not in ClickUp),LP- Bank & Card Reconciliation ,Operations - Falcons / Topo_Erin (H),86cytd6mv,0.9
REMOTE_MISSING (id not in ClickUp),8.Hands Down Cloud LLC-Status & Queries: Books Status & Fixing Queries,Operations - Titans / Mango_Raj (H),86cy5egje,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconcilation : Ameriprise 4133,Operations - Syndicate / EdBall_Edward (F),86cv1qxjn,0.9
REMOTE_MISSING (id not in ClickUp),Beaker_Jill-Bank & Card Reconciliation: Unreconciled Bank-Chase chk-8539,Operations - Titans / Beaker_Jill (H),86cuvmjf5,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: OpCo 16 Bonita Springs (BOA) - 2202,Operations - Ledger Labs / Coare_Hansel,30rwjjd,0.9
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Credit Card Reconciliation : Chase Marriot credit Card,Operations - Bravix / Dannik_Olga (F),86cuvmjj3,0.9
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / Blind_Adam (H),86d14rxvb,0.9
REMOTE_MISSING (id not in ClickUp),Idream_Weekly Reconciliation,Operations - Synergy / IDream_Joseph (H),86cupafpm,0.9
REMOTE_MISSING (id not in ClickUp),10. Meeting: Regular Meeting with Clients,Operations - Falcons /Smrtft_Rob (H),85yvx2a03,0.9
NO_REMOTE (native Hubstaff task),Jamie's Farm - BOIR,Admin-Operational Works,,0.9
REMOTE_MISSING (id not in ClickUp),Payroll:- Verify time sheet and add to bamboohr,Operations - Bravix / EpicRise_Lin (H),86d28hx56,0.9
REMOTE_MISSING (id not in ClickUp),2.ORCHID LLC-Bank & Card Reconciliation: Mercury Bank 4172,Operations - Titans / Mango_Raj (H),314fat2,0.9
REMOTE_MISSING (id not in ClickUp),Documents arrange & request,Operations - Synergy / Master_Lloyd : Land LTR LLC (H),86cu2krwj,0.9
REMOTE_MISSING (id not in ClickUp),AR/AP Management: Ramp Card,Operations - Titans / Samadhi_Jessica (F),85ztpzdep,0.9
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Shopify Clearing,Operations - Falcons /Smrtft_Rob (H),86cuhutzx,0.9
REMOTE_MISSING (id not in ClickUp),BB Moxy_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86d29rb7z,0.9
NO_REMOTE (native Hubstaff task),Salty Intercompay Loan,"Ledger Labs, Inc. / Emailing & Management",,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: PayPal,Operations - Falcons /Smrtft_Rob (H),85yx2nxg1,0.9
REMOTE_MISSING (id not in ClickUp),Frutabomba_AP Email,Operations - Bravix / Finance Faheem_CPA (H),86d0ea424,0.9
REMOTE_MISSING (id not in ClickUp),"Tax Services: Prepare Sales Report for Sales Tax Return California, Texas, New York ",Operations - Falcons /Smrtft_Rob (H),85yxv276a,0.9
NO_REMOTE (native Hubstaff task),meeting anjeli,Admin-Operational Works,,0.9
NO_REMOTE (native Hubstaff task),Watch Meeting Videos - Nano,Admin-Operational Works,,0.9
REMOTE_MISSING (id not in ClickUp),3.MANGO LLC-Bank & Card Reconciliation: Republic Bank 1547,Operations - Titans / Mango_Raj (H),86cv0f9fu,0.9
REMOTE_MISSING (id not in ClickUp),BB BB LLC_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86d2df8ed,0.9
REMOTE_MISSING (id not in ClickUp),BB Moxy_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cyrnff7,0.9
NO_REMOTE (native Hubstaff task),Meeting - Lin Shou,Admin-Operational Works,,0.9
REMOTE_MISSING (id not in ClickUp),TVP_Transaction Coding,Operations - Bravix / Finance Faheem_CPA (H),86czdd4ke,0.9
REMOTE_MISSING (id not in ClickUp),Lax Gadget Group INC-AR Management: Invoices Creation & Customer Reco,Operations - Titans / LaxGadgets_Jawad (F),86cv3xt14,0.9
REMOTE_MISSING (id not in ClickUp),06. AR Management : Rogue Invoicing,Operations - Falcons /Smrtft_Rob (H),86cv23vpn,0.9
REMOTE_MISSING (id not in ClickUp),All bev_Weekly AP sheet,Operations - Bravix / Finance Faheem_CPA (H),86cz6y73u,0.9
REMOTE_MISSING (id not in ClickUp),AR & AP Management: VV Order Processin / Po Correction & Verify,Operations - Synergy / Found_Bethany,86cudgpem,0.9
REMOTE_MISSING (id not in ClickUp),BB BB LLC_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cv1b85k,0.9
REMOTE_MISSING (id not in ClickUp),PTP - Bank & Card Reconciliation: Checking,Operations - Falcons / Topo_Erin (H),86cvmnxxn,0.9
REMOTE_MISSING (id not in ClickUp),Reconcile Bank & Credit Card: Business checking 1189,Operations - Synergy / IDream_Joseph (H),86cumdg0r,0.9
REMOTE_MISSING (id not in ClickUp),Frutabomba_AP Mail,Operations - Bravix / Finance Faheem_CPA (H),86cyz1c55,0.9
NO_TASK (project-level only),(no task - project level),Operations - Synergy / Master_Lloyd : Vargas Family Venture LLC,,0.9
REMOTE_MISSING (id not in ClickUp),SF_Accounting Package,Operations - Bravix / Finance Faheem_CPA (H),86cv2mb6k,0.9
REMOTE_MISSING (id not in ClickUp),AP Management: Vendor Payment Processing,Operations - Alliance / KDHW_Korey (H),86cv18k3d,0.9
REMOTE_MISSING (id not in ClickUp),File 1099 for Vendors for 2023,Operations - Synergy / IDream_Joseph (H),86cv0fkfr,0.9
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cv4hauw,0.9
REMOTE_MISSING (id not in ClickUp),SF_Processing New Invoices in Bill.com,Operations - Bravix / Finance Faheem_CPA (H),86cuhb24c,0.9
REMOTE_MISSING (id not in ClickUp),10. Meeting: Regular Meeting with Clients,Operations - Falcons /Smrtft_Rob (H),86cur6jp2,0.9
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cyy7815,0.9
REMOTE_MISSING (id not in ClickUp),BB Chicago_Inventory & COGS: Reconcile COGS & Ending Inventory,Operations - Synergy / Blind_Adam (H),86cy38ccj,0.9
REMOTE_MISSING (id not in ClickUp),Le Prunier_Weekly Sales,Operations - Bravix / Finance Faheem_CPA (H),86d1t63hr,0.9
REMOTE_MISSING (id not in ClickUp),Other: Document Check/Update and Request  ,Operations - Mavericks / Base_Bob (F),86cx3tdaa,0.9
REMOTE_MISSING (id not in ClickUp),Upside Capital: Match Tax Return_2022,Operations - Bravix / Mark Perlberg_CPA (F),86cuy5qh8,0.9
REMOTE_MISSING (id not in ClickUp),Dispute Kehe Chargebacks & Send report to Toyin,Operations - Ledger Labs / IyaFoods_Toyin,3vxkcqn,0.9
REMOTE_MISSING (id not in ClickUp),06. AR Management : Scheels Invoicing,Operations - Falcons /Smrtft_Rob (H),86cuqg592,0.9
REMOTE_MISSING (id not in ClickUp),"Upside Capital, LLC_Document Request",Operations - Bravix / Mark Perlberg_CPA (F),86cvv0mr1,0.9
REMOTE_MISSING (id not in ClickUp),Payroll Accrual & benefits reconciliation,Operations - Bravix / EpicRise_Lin (H),86d015etd,0.9
REMOTE_MISSING (id not in ClickUp),Reconciliation: Bank and Credit Card,Operations - Titans / Samadhi_Jessica (F),86cv2vwxc,0.9
REMOTE_MISSING (id not in ClickUp),5. Lion Howse-Bank & Card Reconciliation: Republic bank-4828,Operations - Titans / Mango_Raj (H),86cwbnhb7,0.9
REMOTE_MISSING (id not in ClickUp),1.CLASSIC KANGAROO-Monthly General Ledger Review,Operations - Titans / Mango_Raj (H),86cwp3gn8,0.9
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Titans / BabyGold_Michael,86cv038y3,0.9
REMOTE_MISSING (id not in ClickUp),BOIR,Operations - Alliance / PrueProprietary_Irene (F),86cwbpr9m,0.9
NO_TASK (project-level only),(no task - project level),Operations - Titans / Shipdepot_Edward (F),,0.9
REMOTE_MISSING (id not in ClickUp),10.Hyperdot-Bank & Card Reconciliation: CF Bank-2550,Operations - Titans / Mango_Raj (H),86cwfm3kf,0.9
REMOTE_MISSING (id not in ClickUp),Kudos_Jay Group Invoices,Operations - Bravix / Finance Faheem_CPA (H),86cz5tvwu,0.9
REMOTE_MISSING (id not in ClickUp),CFS - Bank & Card Reconciliation: Alpine LOC,Operations - Falcons / Topo_Erin (H),86cvqcf9f,0.9
REMOTE_MISSING (id not in ClickUp),BB Moxy_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86cxffkxd,0.9
REMOTE_MISSING (id not in ClickUp),Radix Meeting New Client with Gary,Admin-Operational Works,14985388,0.9
NO_TASK (project-level only),(no task - project level),Operations - Ledger Labs / Dibianco_Rachel,,0.9
REMOTE_MISSING (id not in ClickUp),1.ASHBURN- Bank and Credit Card :- Chase Visa (Akhil)-3079/9079,Operations - Syndicate / Goddardschool_Akhil (F),85zrxwe49,0.9
REMOTE_MISSING (id not in ClickUp),TVP_AP Email,Operations - Bravix / Finance Faheem_CPA (H),86d0wkc54,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 1001 C3 - Sales 8898,Archived Projects- Ledger Labs- / Nano_Chris,30rw1nn,0.9
REMOTE_MISSING (id not in ClickUp),Slack/ Consolidate Email,Operations - Bravix / Finance Faheem_CPA (H),86cz866yf,0.9
REMOTE_MISSING (id not in ClickUp),BB Nashville_Bar_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86curwn5v,0.9
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Titans / Butter_Wendell (F),86cx8c87e,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: BofA CC 6274,Operations - Synergy / T1_Ward (F),85yveydw8,0.9
REMOTE_MISSING (id not in ClickUp),Monthly Payroll Reconciliation,Operations - Titans / Butter_Wendell (F),86cuyezgn,0.9
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Saks Clearing,Operations - Falcons /Smrtft_Rob (H),86cu2x7m1,0.9
REMOTE_MISSING (id not in ClickUp),12.Qiwaghmii-Bank & Card Reconciliation: Found Bank 6909,Operations - Titans / Mango_Raj (H),86cygvfa4,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 2200.50 Capital One - 6695/8332,Operations - Bravix / SevenShopper_Lin (H),85ywcfd5u,0.9
REMOTE_MISSING (id not in ClickUp),BB Nashville_Bar_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86cx8u5k5,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation:CC_7880_Capital One,Operations - Mavericks / SiliconValley_Jack,32qquer,0.9
REMOTE_MISSING (id not in ClickUp),TVP_AP Email,Operations - Bravix / Finance Faheem_CPA (H),86d0j1aeg,0.9
REMOTE_MISSING (id not in ClickUp),Consolidated:-Intercompany: Principal/United Insurance working,Operations - Synergy / Blind_Adam (H),86d0g14g1,0.9
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Amazon Pay Clearing ,Operations - Falcons /Smrtft_Rob (H),85yxv27e3,0.9
REMOTE_MISSING (id not in ClickUp),BB Moxy_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86cyrnf73,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Personal Checking,Operations - Synergy / OXholdings_Billy (H),85zrgxq7t,0.9
REMOTE_MISSING (id not in ClickUp),BB Charley_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cy8wdkj,0.9
REMOTE_MISSING (id not in ClickUp),"Reconciliation: E07_JL Merrell Properties, LLC, Rental income and security deposite",Operations - Mavericks / ChefPoint_Paula (F),86cuy5hu8,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation : BOA 9491,Operations - Titans / Giften_Martha (F),85ztp3wy1,0.9
REMOTE_MISSING (id not in ClickUp),CFS - General Ledger Review,Operations - Falcons / Topo_Erin (H),86cv0q7f1,0.9
REMOTE_MISSING (id not in ClickUp),Sibling_Record Payroll Entries,Operations - Bravix / Finance Faheem_CPA (H),86cuhb1ag,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation,Operations - Titans / Unbox_Mohit (F),86cywp44g,0.9
REMOTE_MISSING (id not in ClickUp),All bev_Bill.com,Operations - Bravix / Finance Faheem_CPA (H),86d050arg,0.9
REMOTE_MISSING (id not in ClickUp),02. Bank & Card Reconciliation: Chase Credit Card (4902),Operations - Falcons /Smrtft_Rob (H),86cuqg59j,0.9
REMOTE_MISSING (id not in ClickUp),BB BB LLC_Status & Queries: Checking Documents & Request,Operations - Synergy / Blind_Adam (H),86cv1b85h,0.9
REMOTE_MISSING (id not in ClickUp),1.CLASSIC KANGAROO-Matching Intercompany Transaction,Operations - Titans / Mango_Raj (H),86cw238q2,0.9
REMOTE_MISSING (id not in ClickUp),Idream_Weekly Invoicing,Operations - Synergy / IDream_Joseph (H),86cv04bhx,0.9
REMOTE_MISSING (id not in ClickUp),Weekly Status & Queries: ,Operations - Alliance / FoliaWater_Jonathan (H),85ywmhz1f,0.9
REMOTE_MISSING (id not in ClickUp),Email management,Operations - Bravix / EpicRise_Lin (H),86cz3qp7t,0.9
REMOTE_MISSING (id not in ClickUp),Ebay Sale and COGS,Operations - Bravix / EpicRise_Lin (H),86cza3b4n,0.9
REMOTE_MISSING (id not in ClickUp),Task verify,Operations - Bravix / CSProp_Lin (H),86cz1nnek,0.9
REMOTE_MISSING (id not in ClickUp),10.Hyperdot-Audit: Monthly General Ledger Review,Operations - Titans / Mango_Raj (H),86cx9tqqb,0.9
REMOTE_MISSING (id not in ClickUp),Book staus update and queries update,Operations - Alliance / Elite_Lysha (F),85yv0dfq6,0.9
REMOTE_MISSING (id not in ClickUp),Checking Document:Document Request & Adding in folder,Operations - Ledger Labs / Toptier_Sean,86cutyv4q,0.9
REMOTE_MISSING (id not in ClickUp),TVP_Weekly Location wise P&L,Operations - Bravix / Finance Faheem_CPA (H),86d0peh09,0.9
REMOTE_MISSING (id not in ClickUp),All bev_Bill.com,Operations - Bravix / Finance Faheem_CPA (H),86czjmn68,0.9
REMOTE_MISSING (id not in ClickUp),06. Sales Reconciliation: Sales Journal,Operations - Falcons /Smrtft_Rob (H),86cvbp4x9,0.9
REMOTE_MISSING (id not in ClickUp),All bev_AP email,Operations - Bravix / Finance Faheem_CPA (H),86cz6y5kr,0.9
REMOTE_MISSING (id not in ClickUp),TMM - AR Management : Throughline Contractor Invoice,Operations - Falcons / Topo_Erin (H),86cv9avcv,0.9
REMOTE_MISSING (id not in ClickUp),IIL - Bank & Card Reconciliation: CHASE CHECKING 7716	,Operations - Falcons / Topo_Erin (H),86cvjkdvf,0.9
REMOTE_MISSING (id not in ClickUp),Customer Reconciliation : Moda Operandi,Operations - Mavericks / Diotima_Shin (H),86d1ee6fn,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 1100.90 HVB 3681,Operations - Bravix / SevenShopper_Lin (H),85yvgbvrn,0.9
REMOTE_MISSING (id not in ClickUp),BB Nashville_Bar_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86cyy7vnn,0.9
REMOTE_MISSING (id not in ClickUp),BB West_Inventory & COGS: Reconcile COGS & Ending Inventory,Operations - Synergy / Blind_Adam (H),86d0pavrn,0.9
REMOTE_MISSING (id not in ClickUp),Remover: Track Missing Receipts,"Operations - Ledger Labs / Apparatus Contractor Services, LLC_CPA",86cv2j6n4,0.9
REMOTE_MISSING (id not in ClickUp),NB - Training and Research,Operations - Titans / PowerSeller_Lisa (H),86cz2t69w,0.9
REMOTE_MISSING (id not in ClickUp),Inventory & COGS: Reconcile COGS & Ending Inventory by Nerali,Operations - Falcons /Smrtft_Rob (H),85yvvdydj,0.9
REMOTE_MISSING (id not in ClickUp),01. Inbox Management: Task Delegation & Follow up,Operations - Falcons /Smrtft_Rob (H),86cytub4t,0.9
REMOTE_MISSING (id not in ClickUp),TVP_Bill.com,Operations - Bravix / Finance Faheem_CPA (H),86d0b6yd4,0.9
REMOTE_MISSING (id not in ClickUp),Travis Loidolt_Document Request,Operations - Bravix / Mark Perlberg_CPA (F),86cvej5pj,0.9
REMOTE_MISSING (id not in ClickUp), Categorizing Query,Operations - Synergy / Blind_Adam (H),85ztcb7vc,0.9
REMOTE_MISSING (id not in ClickUp),06. AR Management : Scheels Open AR Match with Shopify,Operations - Falcons /Smrtft_Rob (H),86cvfvj86,0.9
REMOTE_MISSING (id not in ClickUp),Inventory & COGS: Reconcile COGS & Ending Inventory,Operations - Syndicate / Hooptech_Amy (F),86cure4va,0.9
REMOTE_MISSING (id not in ClickUp),Aria: Other - Rent calculation,Operations - Syndicate / Maceoo_Mehdi (F),85yy9cvk9,0.9
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 1100.90 HVB 3681,Operations - Bravix / SevenShopper_Lin (H),31a2bma,0.9
REMOTE_MISSING (id not in ClickUp),"CP Realty Consultants, Inc._Document Request",Operations - Bravix / Mark Perlberg_CPA (F),86cvv0mv1,0.9
REMOTE_MISSING (id not in ClickUp),Meeting,Operations - Syndicate / Maceoo_Mehdi (F),86cutn5cz,0.9
REMOTE_MISSING (id not in ClickUp),BB Philly_Inventory & COGS: Reconcile COGS & Ending Inventory,Operations - Synergy / Blind_Adam (H),86cy38cdb,0.9
REMOTE_MISSING (id not in ClickUp),Makin Moves LLC_Audit & Review,Operations - Bravix / Mark Perlberg_CPA (F),86cvej592,0.9
NO_REMOTE (native Hubstaff task),Wisoman_Sonal- AP Management: Adding Bills & Payments Reconciliation,Tracker- Billable Hours,,0.9
NO_REMOTE (native Hubstaff task),Finance_Faheem_Inbox Management: Task Delegation & Follow up,Tracker- Billable Hours,,0.9
REMOTE_MISSING (id not in ClickUp),NB - Training & Research Hassle Free Homes LLc,Operations - Bravix / Mark Perlberg_CPA (F),86cvej4rg,0.9
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Ledger Labs / Fleishman_Jules,86cv2eh51,0.9
REMOTE_MISSING (id not in ClickUp),TMM - Bank & Card Reconciliation : 0149524 Topo Mixed Media,Operations - Falcons / Topo_Erin (H),86cv2gknr,0.9
REMOTE_MISSING (id not in ClickUp),3.MANGO LLC-Monthly General Ledger Review,Operations - Titans / Mango_Raj (H),86cwva3jr,0.9
REMOTE_MISSING (id not in ClickUp),BB Highland_Audit: Monthly General Ledger Review - Kanika,Operations - Synergy / Blind_Adam (H),86czg1xa3,0.9
REMOTE_MISSING (id not in ClickUp),CNB AFS LOC Reconciliation,"Ledger Labs, Inc. / Portable_Joe",326jprc,0.9
REMOTE_MISSING (id not in ClickUp),Walmart Sale and COGS,Operations - Bravix / EpicRise_Lin (H),86czdd4rq,0.9
REMOTE_MISSING (id not in ClickUp),Walmart Sale and COGS,Operations - Bravix / EpicRise_Lin (H),86cz1nn9e,0.9
REMOTE_MISSING (id not in ClickUp),03. AP Management: UPS Bills verification,Operations - Falcons /Smrtft_Rob (H),86cuv6jtk,0.9
REMOTE_MISSING (id not in ClickUp),"1.CLASSIC KANGAROO-Checking Documents, Request & Downloading",Operations - Titans / Mango_Raj (H),86cwp3gp6,0.9
REMOTE_MISSING (id not in ClickUp),BB Grooming_Update AP and AR sheet,Operations - Synergy / Blind_Adam (H),86cuy2wr2,0.9
REMOTE_MISSING (id not in ClickUp),Baselinx: Update Checklist,Operations - Mavericks / Base_Bob (F),86cyrwf0f,0.9
REMOTE_MISSING (id not in ClickUp),LP - Bank & Card Reconciliation: LP LLC 4187,Operations - Falcons / Topo_Erin (H),86cv4v3d7,0.9
REMOTE_MISSING (id not in ClickUp),All bev_Daily Coding,Operations - Bravix / Finance Faheem_CPA (H),86czb3tte,0.9
REMOTE_MISSING (id not in ClickUp),Inbox Management,Operations - Synergy / OXholdings_Billy (H),85zrnfxd7,0.9
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Ledger Labs / Branch_Daniel,86cuyf2bm,0.9
REMOTE_MISSING (id not in ClickUp),SF_Accounting Package,Operations - Bravix / Finance Faheem_CPA (H),86cv2kr8g,0.9
REMOTE_MISSING (id not in ClickUp),BB Grooming_Update AP and AR sheet - Raghav,Operations - Synergy / Blind_Adam (H),86d041fpy,0.9
REMOTE_MISSING (id not in ClickUp),Payroll:- Payroll Process,Operations - Bravix / EpicRise_Lin (H),86d1qm01n,0.9
REMOTE_MISSING (id not in ClickUp),AP Management: Payment Processing,Operations - Synergy / Found_Bethany,86curvgrn,0.9
REMOTE_MISSING (id not in ClickUp),AR Management: Late Fees Invoicing,"Ledger Labs, Inc. / Ponte_Shana",85yyd1maf,0.9
REMOTE_MISSING (id not in ClickUp),Intercompany Sales,Operations - Bravix / EpicRise_Lin (H),86d2ccm88,0.9
NO_REMOTE (native Hubstaff task),John Gakaru - Notices,Admin-Operational Works,,0.9
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86cvjd5rf,0.9
REMOTE_MISSING (id not in ClickUp),Stripe clearing,Operations - Bravix / EpicRise_Lin (H),86d018k86,0.9
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cxrucm1,0.9
REMOTE_MISSING (id not in ClickUp),"CP Realty Consultants, Inc._Book Status & Querry Updates",Operations - Bravix / Mark Perlberg_CPA (F),86cvej2gh,0.9
REMOTE_MISSING (id not in ClickUp),06. AR Management : Rogue Invoicing,Operations - Falcons /Smrtft_Rob (H),86cv6cxyh,0.9
REMOTE_MISSING (id not in ClickUp),4.MODDIC GLOBAL-Bank & Card Reconciliation: Horizon Bank,Operations - Titans / Mango_Raj (H),86cwva3m8,0.9
REMOTE_MISSING (id not in ClickUp),CFS - Bank & Card Reconciliation: Capital One Biz Credit Card,Operations - Falcons / Topo_Erin (H),86cvqcf28,0.9
